person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
0.056452,0,0.75,0.007212,0,RENT,0.101449,DEBTCONSOLIDATION,0.26749,0.106061,0.25,0.493478,1,0
0.032258,1,0,0.008052,0.008,MORTGAGE,0.232609,MEDICAL,0.217421,0.19697,0.071429,0.467391,1,0
0.056452,1,0.25,0.006998,0.064,RENT,0.449275,VENTURE,0.603567,0.409091,0.107143,0.43913,0,1
0.008065,1,0.75,0.006021,0,RENT,0.028986,EDUCATION,0.025377,0.045455,0.035714,0.665217,1,0
0.08871,1,0.25,0.024018,0.088,MORTGAGE,0.691391,PERSONAL,0.381344,0.19697,0.25,0.6,1,0
0.040323,0,0.75,0.008001,0.048,RENT,0.188406,DEBTCONSOLIDATION,1,0.166667,0.035714,0.458696,0,1
0.056452,1,0.5,0.006396,0.056,RENT,0.188406,MEDICAL,0.11797,0.19697,0.178571,0.434783,1,0
0.016129,1,0,0.009057,0.016,MORTGAGE,0.246377,MEDICAL,0.574074,0.181818,0,0.66087,0,0
0.072581,1,0.75,0.008179,0.064,RENT,0.107246,PERSONAL,0.722222,0.090909,0.285714,0.628261,1,0
0.064516,0,0.5,0.009412,0.032,RENT,0.333333,EDUCATION,0.383402,0.242424,0.285714,0.519565,1,0
0.040323,1,0.25,0.014833,0,RENT,0.188406,DEBTCONSOLIDATION,0.107682,0.090909,0,0.563043,1,0
0.016129,1,0.5,0.004643,0.024,MORTGAGE,0.130435,DEBTCONSOLIDATION,0.578189,0.181818,0.035714,0.506522,0,0
0.072581,1,0.25,0.007508,0.048,OWN,0.557971,MEDICAL,0.141975,0.484848,0.214286,0.426087,1,0
0.024194,0,0.75,0.00551,0,RENT,0.130435,DEBTCONSOLIDATION,0.682442,0.151515,0.071429,0.56087,0,1
0.072581,0,0.5,0.007836,0.04,MORTGAGE,0.014493,HOMEIMPROVEMENT,0.553498,0.030303,0.142857,0.23913,1,0
0.008065,1,0.25,0.004045,0,RENT,0.15942,EDUCATION,0.530864,0.242424,0.071429,0.347826,0,1
0.032258,0,0.25,0.019031,0,MORTGAGE,0.565217,EDUCATION,0.244856,0.212121,0.071429,0.380435,0,0
0.016129,1,0.75,0.015748,0,RENT,0.15942,EDUCATION,0.450617,0.075758,0.071429,0.536957,1,0
0.064516,1,0.75,0.01152,0.072,RENT,0.507246,VENTURE,0.481481,0.30303,0.25,0.441304,1,0
0.024194,0,0,0.005351,0,MORTGAGE,0.217391,EDUCATION,0.498628,0.257576,0.035714,0.530435,1,0
